	x1	x2	s1	s2	s3	b
s1	-2	-1	1	0	0	-70
s2	-1	-1	0	1	0	-50
s3	-1	-3	0	0	1	-90
c	-40	-60	0	0	0	0

	x1	x2	s1	s2	s3	b
x2	2	1	-1	-0	-0	70
s2	1	0	-1	1	0	20
s3	5	0	-3	0	1	120
c	80	0	-60	0	0	4200

	x1	x2	s1	s2	s3	b
x2	-2	-1	1	0	0	-70
s2	-1	-1	0	1	0	-50
s3	-1	-3	0	0	1	-90
c	-40	-60	0	0	0	0

	x1	x2	s1	s2	s3	b
x2	2	1	-1	-0	-0	70
s2	1	0	-1	1	0	20
s3	5	0	-3	0	1	120
c	80	0	-60	0	0	4200

	x1	x2	s1	s2	s3	b
x2	-2	-1	1	0	0	-70
s2	-1	-1	0	1	0	-50
s3	-1	-3	0	0	1	-90
c	-40	-60	0	0	0	0

	x1	x2	s1	s2	s3	b
x2	2	1	-1	-0	-0	70
s2	1	0	-1	1	0	20
s3	5	0	-3	0	1	120
c	80	0	-60	0	0	4200

	x1	x2	s1	s2	s3	b
x2	-2	-1	1	0	0	-70
s2	-1	-1	0	1	0	-50
s3	-1	-3	0	0	1	-90
c	-40	-60	0	0	0	0

	x1	x2	s1	s2	s3	b
x2	2	1	-1	-0	-0	70
s2	1	0	-1	1	0	20
s3	5	0	-3	0	1	120
c	80	0	-60	0	0	4200

SOLUTION FOUND: unbounded
